NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Joe,Harris,SG,5,0,3,0.6,0,0.6,0.6,0.4,0,0,0.2,0.2,2,3.6,0.2,0.8,0.25,0.2,0.8,0.25,0,0,0,0,0,0,0.75,0.38
Joe,Ingles,SF,26,0,11.9,3.4,0,1.3,1.3,1,0.58,0.04,0.6,1,1.7,11.3,1.3,2.8,0.452,0.7,1.8,0.404,0.1,0.2,0.75,0.6,1,0.538,1.205,0.58
Joe,Johnson,SF,29,29,34.6,10.9,0.8,3.3,4.1,4.1,0.86,0.03,1.9,2,2.1,9.1,4,11.4,0.355,1.2,4,0.31,1.6,1.9,0.84,2.8,7.4,0.379,0.958,0.41
Joe,Young,PG,11,0,4.5,1.6,0,0.5,0.5,0.4,0.27,0,0.4,0.4,1,7,0.5,1.7,0.316,0.1,0.5,0.2,0.5,0.5,0.83,0.4,1.2,0.357,0.947,0.34
Joel,Anthony,C,7,0,4.6,1,0.4,0.9,1.3,0.1,0.29,0.14,0.1,0.6,1,16.6,0.1,0.3,0.5,0,0,0,0.7,0.9,0.83,0.1,0.3,0.5,3.5,0.5
Joffrey,Lauvergne,C,14,11,17.5,8.3,1.6,4.5,6.1,1.2,0.14,0.36,0.6,2.3,1.9,19.3,3.4,6.9,0.49,0.6,1.2,0.471,1,1.1,0.93,2.8,5.7,0.494,1.208,0.53
John,Henson,PF,26,1,15.7,6.3,1.8,2.3,4.1,0.8,0.31,1.73,1,2.5,0.8,19.2,2.6,4.7,0.562,0,0,0,1.1,2,0.56,2.6,4.7,0.562,1.364,0.56
John,Jenkins,SG,13,1,9.8,3.5,0.3,0.9,1.2,0.5,0.15,0,0.5,0.6,0.9,8,1.5,3.6,0.404,0.2,1.2,0.188,0.4,0.4,1,1.3,2.4,0.516,0.979,0.44
John,Wall,PG,27,27,35.3,19.4,0.6,3.5,4.1,9.6,2.15,0.7,4.4,2,2.2,20.6,7,16.3,0.432,1.5,4.3,0.342,3.8,4.8,0.79,5.5,12,0.464,1.189,0.48
Johnny,O'Bryant,PF,28,3,15.2,3.6,1.2,2,3.1,0.8,0.39,0.18,0.6,1.9,1.2,8.5,1.5,3.6,0.416,0,0,1,0.6,0.8,0.7,1.5,3.6,0.41,1,0.42
