NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Tayshaun,Prince,SF,29,18,19.7,2.5,0.4,1.6,2,0.8,0.31,0.07,0.4,0.7,2.2,4.9,1.1,2.7,0.423,0,0.3,0.125,0.2,0.4,0.55,1.1,2.4,0.457,0.936,0.43
Terrence,Jones,PF,25,10,23.1,10,1.7,3.4,5.1,0.9,0.32,0.92,1,1.8,0.9,15.2,3.8,8.3,0.457,0.7,1.8,0.409,1.7,2.6,0.65,3.1,6.5,0.47,1.207,0.5
Terrence,Ross,SF,24,7,22.3,7.8,0.3,2,2.3,0.8,0.71,0.42,0.8,1.5,1,11,2.8,7,0.402,1.6,4.3,0.373,0.5,0.5,1,1.2,2.7,0.448,1.101,0.51
Terry,Rozier,PG,16,0,6,1.7,0.4,0.6,1,0.6,0,0,0.5,0.6,1.1,-1.1,0.8,2.9,0.261,0.1,0.7,0.182,0.1,0.1,1,0.7,2.2,0.286,0.587,0.28
Thabo,Sefolosha,SF,27,10,24,7.2,0.8,3.8,4.6,1.3,1.3,0.59,1.1,1.4,1.2,13.9,3,5.6,0.526,0.7,1.9,0.373,0.6,1.1,0.53,2.3,3.7,0.604,1.283,0.59
Thaddeus,Young,PF,29,29,32.6,16,2.7,6.6,9.2,1.6,1.52,0.38,1.8,2.2,0.9,19.2,7.3,14,0.518,0.1,0.4,0.154,1.3,2.2,0.6,7.2,13.6,0.53,1.138,0.52
Thomas,Robinson,PF,25,0,9.8,3.1,1.3,2.5,3.8,0.1,0.32,0.6,0.8,1.2,0.2,14.5,1.4,2.6,0.515,0,0,0,0.4,0.9,0.45,1.4,2.6,0.515,1.182,0.52
Tiago,Splitter,C,22,1,16.6,5.7,1.3,2.1,3.4,0.9,0.68,0.41,0.8,2,1.1,14.3,2.4,4.5,0.525,0,0,0,1,1.2,0.81,2.4,4.5,0.531,1.273,0.53
Tibor,Pleiss,C,4,0,3.3,1,0,0.3,0.3,0,0,0.25,0.3,1,0,1.9,0.5,1,0.5,0,0,0,0,0,0,0.5,1,0.5,1,0.5
Tim,Duncan,C,27,27,26.4,8.9,1.9,6,7.9,3,0.81,1.48,1.9,2.4,1.6,17.8,3.6,7,0.516,0,0,0,1.6,2.1,0.74,3.6,7,0.519,1.258,0.52
Tim,Frazier,PG,17,1,7.1,1.3,0.2,0.8,1,1.1,0.29,0.06,0.9,1,1.2,2.4,0.5,1.7,0.31,0.1,0.5,0.111,0.2,0.3,0.6,0.4,1.2,0.4,0.759,0.33
Tim,Hardaway,SG,4,0,11,2.5,0.3,1,1.3,0.5,0,0.25,0.3,0.5,2,3.6,0.8,3.3,0.231,0.5,2,0.25,0.5,0.5,1,0.3,1.3,0.2,0.769,0.31
Timofey,Mozgov,C,23,23,19.2,7.3,1.2,3,4.3,0.5,0.35,0.83,1.3,1.8,0.4,14.3,2.9,5.4,0.528,0,0.2,0.2,1.5,1.8,0.81,2.9,5.2,0.542,1.336,0.53
Tobias,Harris,SF,29,29,31.9,14.6,1.7,5.6,7.3,1.9,1.1,0.62,1.6,2,1.2,17.9,5.4,11.6,0.472,1,3,0.326,2.7,3.2,0.84,4.4,8.6,0.522,1.263,0.51
Toney,Douglas,PG,17,0,15.5,6.9,0.4,0.9,1.3,1.8,0.88,0,1.1,2.2,1.7,14.8,2.4,5.5,0.441,0.9,2.3,0.41,1.2,1.2,0.95,1.5,3.2,0.463,1.269,0.53
Tony,Allen,SF,26,23,21.1,5.7,1.3,2.2,3.6,0.9,1.46,0.27,1,2.6,1,9.2,2.4,6.2,0.391,0.2,0.7,0.235,0.7,1.4,0.5,2.2,5.5,0.41,0.919,0.4
Tony,Parker,PG,29,29,26.8,13.1,0.3,2,2.3,5,0.76,0.17,1.6,1.7,3.1,20.5,5.5,9.8,0.56,0.4,0.7,0.524,1.7,2.2,0.79,5.1,9.1,0.563,1.335,0.58
Tony,Snell,SF,25,21,22.8,5.6,0.3,3.2,3.5,1,0.4,0.24,1,1.7,1,6,2,5.6,0.348,1.2,3,0.387,0.6,0.6,0.88,0.8,2.6,0.303,1,0.45
Tony,Wroten,SG,8,3,18,8.4,0.3,2.4,2.6,2.5,0.38,0,3.6,1.4,0.7,2.5,2.8,8.1,0.338,0.4,2.1,0.176,2.5,4.6,0.54,2.4,6,0.396,1.031,0.36
Trevor,Ariza,SF,29,29,34.5,11.3,0.8,4.6,5.4,2,1.93,0.24,1.6,2.4,1.3,11.1,4,10.4,0.383,2,6.2,0.318,1.4,1.9,0.74,2,4.2,0.476,1.086,0.48
Trevor,Booker,PF,26,2,21.9,5.4,2.4,3.6,6,0.8,1.04,0.54,1,2.5,0.8,12.6,2.2,5.3,0.413,0.1,0.5,0.231,0.9,1.2,0.72,2.1,4.8,0.432,1.014,0.42
Trey,Burke,PG,27,0,23.3,11.4,0.4,1.8,2.2,2.7,0.7,0.04,1.6,1.4,1.8,15.6,4.4,10.2,0.435,1.5,4.1,0.373,1,1.3,0.76,2.9,6.1,0.476,1.112,0.51
Trey,Lyles,PF,25,11,13.3,2.6,0.8,2.3,3.1,0.4,0.08,0.16,0.5,1.3,0.8,5.9,1.1,3,0.368,0.1,0.3,0.25,0.3,0.4,0.64,1,2.7,0.382,0.855,0.38
Tristan,Thompson,C,26,3,26.9,7.1,3.1,6.8,9.9,0.8,0.42,0.5,0.8,2.4,1,14.8,2.9,5.5,0.535,0,0,0,1.3,2.3,0.56,2.9,5.5,0.535,1.303,0.54
Troy,Daniels,SG,12,0,5.2,2.7,0,0.4,0.4,0.3,0.17,0,0.3,0.4,0.8,13.3,0.8,2.1,0.4,0.8,1.4,0.529,0.3,0.3,0.75,0,0.7,0.125,1.28,0.58
Ty,Lawson,PG,27,11,25.3,6.1,0.5,1.4,1.9,4.1,0.93,0.15,1.9,1.4,2.2,8.2,2.1,6.1,0.341,0.6,2,0.296,1.4,2,0.7,1.5,4.1,0.364,1.006,0.39
Tyler,Ennis,PG,13,5,11.1,3.8,0.2,1.1,1.3,0.9,0.23,0.08,0.9,1,1,8,1.5,3.4,0.432,0.3,0.8,0.364,0.5,0.8,0.7,1.2,2.6,0.455,1.114,0.48
Tyler,Hansbrough,PF,14,0,6.4,2.4,0.6,1,1.6,0.3,0.21,0.29,0.4,0.9,0.8,16,0.9,1.7,0.5,0.1,0.1,1,0.6,1,0.57,0.8,1.6,0.455,1.417,0.54
Tyler,Johnson,SG,20,0,20.9,9.1,0.8,1.5,2.3,1.8,0.7,0.4,1.2,1.5,1.5,18.1,3.2,6.2,0.52,0.8,1.8,0.457,1.9,2.4,0.81,2.4,4.4,0.545,1.48,0.59
Tyler,Zeller,C,19,3,8.5,4.9,0.6,1.3,1.9,0.4,0.11,0.16,0.7,1.5,0.5,16.2,1.9,3.5,0.552,0,0,0,1.1,1.4,0.74,1.9,3.5,0.552,1.403,0.55
Tyreke,Evans,SG,11,11,32,16.4,1,5,6,6.6,1.36,0.45,2.8,2.5,2.4,20.6,5.7,13,0.441,1.3,3.2,0.4,3.6,4.4,0.83,4.4,9.8,0.454,1.259,0.49
Tyson,Chandler,C,22,19,22.5,4.5,2.1,5.2,7.3,0.4,0.68,0.68,1.2,2,0.3,10.7,1.6,3.4,0.467,0,0,0,1.3,2,0.67,1.6,3.4,0.473,1.32,0.47
Tyus,Jones,PG,3,0,11.3,2.3,0,0.7,0.7,1,1,0,0.3,0.3,3,4.2,1,4,0.25,0,0.7,0,0.3,0.7,0.5,1,3.3,0.3,0.583,0.25
Udonis,Haslem,PF,13,0,9,1.5,0.1,2,2.1,0.7,0.31,0.08,0.2,0.8,3,7.9,0.6,1.8,0.348,0.1,0.4,0.2,0.2,0.2,1,0.5,1.4,0.389,0.87,0.37
Victor,Oladipo,SG,27,12,29.5,12.8,0.5,4.7,5.2,3.9,1.22,0.78,1.9,2.3,2,14.5,4.9,12.5,0.389,0.9,3.5,0.263,2.2,2.7,0.8,4,9,0.438,1.027,0.43
Vince,Carter,SG,14,0,14.8,4.4,0.4,1.9,2.4,0.6,0.64,0.29,0.6,2.1,1.1,8.2,1.6,4.6,0.344,0.8,2.8,0.282,0.5,0.6,0.78,0.8,1.8,0.44,0.969,0.43
Walter,Tavares,C,4,0,3,1,0.3,0.3,0.5,0.3,0,0,0.3,0.3,1,6,0.3,0.8,0.333,0,0,0,0.5,1,0.5,0.3,0.8,0.333,1.333,0.33
Wayne,Ellington,SG,28,2,15.1,5.2,0.2,1.4,1.5,0.6,0.68,0.07,0.4,0.7,1.8,10.4,2.1,5.3,0.392,0.7,2.3,0.317,0.3,0.4,0.82,1.4,3,0.447,0.98,0.46
Wesley,Johnson,SF,29,3,15.5,5.5,0.3,1.6,1.9,0.3,0.62,0.48,0.4,1.5,0.8,12.3,2.1,4.5,0.458,1,2.7,0.367,0.3,0.6,0.63,1.1,1.8,0.596,1.214,0.57
Wesley,Matthews,SG,27,27,31.7,12.7,0.4,2.6,3,1.7,1,0.3,1.2,2.3,1.5,11.3,4.2,11.3,0.374,2.5,7,0.353,1.7,2,0.87,1.7,4.3,0.409,1.121,0.48
Will,Barton,SF,29,1,29,15.7,0.8,5.3,6.1,2.3,1.14,0.45,1.5,1.7,1.6,19.8,5.7,12.5,0.459,1.7,4.1,0.408,2.6,3,0.85,4,8.4,0.483,1.26,0.53
Willie,Cauley-Stein,C,20,14,18.9,4.8,1.8,3.4,5.2,0.4,0.6,1.1,0.7,2.5,0.5,13.6,2,3.2,0.609,0,0,0,0.9,1.8,0.51,2,3.2,0.609,1.5,0.61
Willie,Reed,PF,10,0,8.6,4.2,1,1.7,2.7,0.1,0,0.5,0.5,1.1,0.2,20.5,1.8,2.8,0.643,0,0,0,0.6,1.1,0.55,1.8,2.8,0.643,1.5,0.64
Zach,LaVine,PG,29,6,24.7,14.8,0.6,2.8,3.4,3.4,0.59,0.1,2.1,2.2,1.6,17.5,5.5,12.6,0.438,1.2,3.5,0.333,2.6,3,0.86,4.3,9.1,0.479,1.173,0.48
Zach,Randolph,PF,26,19,28.9,13.1,2.8,5.4,8.2,1.6,0.54,0.08,1.5,2,1.1,16.4,5.5,11.7,0.466,0,0.1,0,2.2,2.7,0.8,5.5,11.6,0.469,1.115,0.47
Zaza,Pachulia,C,29,29,28.3,10,3.4,7,10.4,1.8,0.9,0.41,1.9,2.4,0.9,17.5,3.2,6.7,0.482,0,0,0,3.5,4.5,0.78,3.2,6.7,0.485,1.487,0.48
